COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3005 
 NOMBRE    : CABO SAN LUCAS 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LOS CABOS 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 22.88194444 ° 
 LONGITUD  : -109.9125 ° 
 ALTITUD   : 15 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1937						0	0	7.5	42	12	0	0	61.5	8.8	7
1938	33.5	0	0	0	0	0	0	18	13	0			64.5	6.4	10
1939				0									0	0	1
1941						0	2.8	2.8	317.5			28	351.1	70.2	5
1942		0	0	0	0	0	0	54.2	19	0	0	0	73.2	6.7	11
1943						0	14	18	53.2		0	44	129.2	21.5	6
1945	0	0	0	0	0	0	0	51.7	6	2.9	11	9	80.6	6.7	12
1947	0	0	10	0	0	0	0	16	46	0	13	13	98	8.2	12
1948	0	0	0	0	0	0	38	6	24	69	0	5	142	11.8	12
1949	34	25	0	0	0	3	0	0	292	0	0	0	354	29.5	12
1950	9	0	0	0	0	0	86	0	4.1	15	0	0	114.1	9.5	12
1951	0	0	0.5	0	0	0	0	43.5	17.5	160.2	0	5.3	227	18.9	12
1952	0	0	0	25	0	0	2.5	37.8	35.5	0	0	17	117.8	9.8	12
1953	0	0	0	0	0	0	3.5	38	7.2	19	0	0	67.7	5.6	12
1954	7.2	0	0	0	0	0	113	28.5	30.5	17.8	0	0	197	16.4	12
1955	20	0	0	0	0	1.5	0	27.5	63.5	4.5	1	0	118	9.8	12
1956	0	0	0	9	0	0	9	16.5	36	6	0	3.1	79.6	6.6	12
1957	10.5	0	19.1	0	0	0	0	0	9	27.5	0	18	84.1	7	12
1958	11.5	0	7.5	0	0	0	8.5	4	65.5	68	48.5	8.5	222	18.5	12
1959	2.5	7	0	0	0	0	0	11	65	4.5	0	37	127	10.6	12
1960	35	0	0	0	0	0	12	60	3.5	1.5	0	4	116	9.7	12
1961	43	0	0	0	0	0	0	3.5	0	25	0	19	90.5	7.5	12
1962	0	0	0	0	0	0	0	24	107	45	0	8	184	15.3	12
1963	0	0	0	0	0	0	25	85	7.2	0	0	0	117.2	9.8	12
1964	0	0	0	0	0	0	19	9	28	68	0	0	124	10.3	12
1965	0	0	0	0	0	0	0	50	28	0	0	28	106	8.8	12
1966	0	0	0	0	0	0	0	43	32	0	0	0	75	6.2	12
1967	17	0	0	0	0	0	0	130	11				158	17.6	9
1968	24	20	11	0	0	0	0	3	25	8	12	0	103	8.6	12
1969	0	0	0	0	0	0	3	5	11	11	0	34	64	5.3	12
1970	9	9	0	0	0	0	27	0	36	0	23	0	104	8.7	12
1971	0	0	0	0	0	0	0	19	18	29.5	0	8	74.5	6.2	12
1972	12	0	0	0	4	0	5	25	0	106	0	53	205	17.1	12
1973	6	19	0	0	0	0	0	0	50	0	0	0	75	6.2	12
1974	0	0	3	0	0	0	24	11	0	0	105	33	176	14.7	12
1975	0	9	0	0	0	0	0	6	67	11	0	0	93	7.8	12
1976	0	0	0	0	0	0	0	51	72	29	7	9	168	14	12
1977	0	0	0	0	0	0	0	174	0	40	9	0	223	18.6	12
1978	0	0	0	0	0	0	18	20	23	31	0	9	101	8.4	12
1979	31	3	0	0	0	0	49	0	28	0	0	18	129	10.8	12
1980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1981	35	0	0	0	0	0	6	67	50	90	0	0	248	20.7	12
1982	0	0	0	0	0	0	9	1	178	0	0	31	219	18.2	12
1983	7	5	0	0	0	0		39.7	23.5	30.5	0	10.9	116.6	10.6	11
1984	12.5	0	0	0	0	0	25.3	16.7		5	0	20	79.5	7.2	11
1985	46	0	0	0	0	0	20	1	0	44	0	0	111	9.2	12
1986	0	0	0	14	0	0		11	11	19	0	0	55	5	11
1987	4	2											6	3	2
1988				0	0	0					0	0	0	0	5
1989	58	3.2	0	0					9	0	21.7	38	129.9	16.2	8
1990	8.7		0				41	40.5	23	202	6	95	416.2	52	8
1991	0	0	0	0	0	0	0	0	90.5	34	44	44	212.5	17.7	12
1992	5.5	0	3	0	0	0	0				0	24	32.5	3.6	9
1993	5	0	0	0	0	0	0	40	75	0	0	0	120	10	12
1994	0	3	0	0	0	0	0	44.8	0	24	8	15	94.8	7.9	12
1995	1	0	0	0	0	0	0	30	166	0	3	1	201	16.8	12
1996	0	0	0	0	0	0	0.5	35	200	0	4.5	0	240	20	12
1997	17	0	0	0	0	0	9.5	58	30	0	69	0	183.5	15.3	12
1998	0	3.5	0	0	0	0	9	82.5	257	22.5	0	0	374.5	31.2	12
1999	0	0	0										0	0	3
2000		0	0.01	0			15			9.7	3.5	0	28.21	4	7
2001	0	0	21.5	0	1.5	0	0	18	168	0	0	1.5	210.5	17.5	12
2002	0	5	0	0	0	0	0	0	20	0	60	0	85	7.1	12
2003	0.01	5	0	0	0	0	1	45.4	205.5	0	0	0	256.91	21.4	12
2004	40	0	2	0	0	0	18	0	6	14	0	0	80	6.7	12
2005	0.5	40	0	0	0	0	0	8.5	56.5	3	0	0	108.5	9	12
2006	2.5	0	0	0	0	0	28	14.5	123.5	18	0	0	186.5	15.5	12
2007	7	0	0	0	0	0	0	1.5	124.5	0	0	22	155	12.9	12
2008	0	0	0	0	0	0	3	45	44	5.5	0	0	97.5	8.1	12
2009	0	0	0	0	1	0	0	12	16.1	21	0	8	58.1	4.8	12
2010	0	18	7	0	0	0	5	5	61	0	0	0	96	8	12
2011	0	0	0	0	0	0	6	2	0	0.01	19	0	27.01	2.3	12
2012	0	1	0	0	1	0	0	90	79	79	0	32	282	23.5	12
2013	0	0	0	0	0	0	20	41	11	27	14	0	113	9.4	12
2014	0	0	0	0	0	4.5	29	42	30	10.5	3	0	119	9.9	12
2015	1.5	7	0	0	0	6.5	2.5	10	49	49	14	11	150.5	12.5	12
2016	0.01	0	0.01	0	0.01	0	0	46	67	0	0	0	113.03	9.4	12
2017	0	0	0	0	0	0	0	400	6	0	0	5	411	34.2	12
2018	0	5	0	0						0	0		5	0.8	6
2019	40	0	0	0	0	0	0	20	12	112	106	0	290	24.2	12
2020	0	39	0	0	0	0	0	280	4.5	24	0	0	347.5	29	12
2021	0												0	0	1
2022	0	0	0	0	0	4	5	0.01	41	0	0	0.01	50.02	4.2	12
2023	0	0	0	0	0	0	8	200	8	121	4.5	0	341.5	28.5	12
2024	0.01	0.01	0	0	0	0.01	0	0.01	70.5	0			70.54	7.1	10
